step 0: train loss 10.9894, val loss 10.9903
iter 0: loss 10.9923, time 37519.34ms, mfu -100.00%
iter 10: loss 10.2999, time 1079.33ms, mfu 124.76%
iter 20: loss 9.7097, time 1086.02ms, mfu 124.69%
iter 30: loss 9.4863, time 1083.03ms, mfu 124.65%
iter 40: loss 9.2565, time 1091.03ms, mfu 124.53%
iter 50: loss 9.0157, time 1083.79ms, mfu 124.50%
iter 60: loss 8.7882, time 1081.82ms, mfu 124.50%
iter 70: loss 8.6275, time 1079.08ms, mfu 124.53%
iter 80: loss 8.4080, time 1081.99ms, mfu 124.52%
iter 90: loss 8.1523, time 1079.54ms, mfu 124.54%
iter 100: loss 8.0182, time 1075.63ms, mfu 124.61%
iter 110: loss 7.6857, time 1080.07ms, mfu 124.61%
iter 120: loss 7.5070, time 1080.18ms, mfu 124.62%
iter 130: loss 7.3469, time 1084.39ms, mfu 124.57%
iter 140: loss 7.2752, time 1080.93ms, mfu 124.57%
iter 150: loss 7.0884, time 1078.91ms, mfu 124.60%
iter 160: loss 6.9052, time 1082.28ms, mfu 124.58%
iter 170: loss 6.8467, time 1080.68ms, mfu 124.58%
iter 180: loss 6.6758, time 1080.30ms, mfu 124.59%
iter 190: loss 6.6525, time 1082.53ms, mfu 124.57%
iter 200: loss 6.6106, time 1078.74ms, mfu 124.60%
iter 210: loss 6.5547, time 1081.07ms, mfu 124.59%
iter 220: loss 6.4529, time 1080.01ms, mfu 124.60%
iter 230: loss 6.3852, time 1082.12ms, mfu 124.59%
iter 240: loss 6.3559, time 1081.73ms, mfu 124.58%
iter 250: loss 6.3596, time 1079.80ms, mfu 124.59%
iter 260: loss 6.2593, time 1084.49ms, mfu 124.55%
iter 270: loss 6.1969, time 1081.83ms, mfu 124.54%
iter 280: loss 6.2567, time 1079.09ms, mfu 124.56%
iter 290: loss 6.2129, time 1083.65ms, mfu 124.53%
iter 300: loss 6.1949, time 1078.34ms, mfu 124.57%
iter 310: loss 6.1655, time 1084.02ms, mfu 124.53%
iter 320: loss 6.0921, time 1080.40ms, mfu 124.54%
iter 330: loss 6.1256, time 1078.65ms, mfu 124.57%
iter 340: loss 6.0211, time 1083.69ms, mfu 124.54%
iter 350: loss 5.9311, time 1082.93ms, mfu 124.52%
iter 360: loss 5.9584, time 1082.73ms, mfu 124.51%
iter 370: loss 5.9621, time 1080.84ms, mfu 124.52%
iter 380: loss 5.9359, time 1081.89ms, mfu 124.51%
iter 390: loss 5.9372, time 1086.00ms, mfu 124.46%
iter 400: loss 5.8122, time 1082.94ms, mfu 124.45%
iter 410: loss 5.9056, time 1083.27ms, mfu 124.43%
iter 420: loss 5.7657, time 1085.75ms, mfu 124.39%
iter 430: loss 5.7862, time 1084.46ms, mfu 124.37%
iter 440: loss 5.8111, time 1081.95ms, mfu 124.38%
iter 450: loss 5.7560, time 1081.90ms, mfu 124.39%
iter 460: loss 5.7108, time 1084.13ms, mfu 124.37%
iter 470: loss 5.7049, time 1083.93ms, mfu 124.36%
iter 480: loss 5.6957, time 1079.32ms, mfu 124.40%
iter 490: loss 5.6426, time 1079.50ms, mfu 124.43%
iter 500: loss 5.6623, time 1081.95ms, mfu 124.43%
iter 510: loss 5.5925, time 1080.53ms, mfu 124.45%
iter 520: loss 5.5671, time 1082.69ms, mfu 124.45%
iter 530: loss 5.5347, time 1082.18ms, mfu 124.44%
iter 540: loss 5.5474, time 1084.51ms, mfu 124.42%
iter 550: loss 5.4602, time 1081.89ms, mfu 124.42%
iter 560: loss 5.4043, time 1080.06ms, mfu 124.45%
iter 570: loss 5.3970, time 1082.40ms, mfu 124.44%
iter 580: loss 5.4076, time 1083.43ms, mfu 124.43%
iter 590: loss 5.3267, time 1084.96ms, mfu 124.40%
iter 600: loss 5.3422, time 1084.88ms, mfu 124.37%
iter 610: loss 5.3365, time 1087.91ms, mfu 124.31%
iter 620: loss 5.2351, time 1084.53ms, mfu 124.30%
iter 630: loss 5.3290, time 1082.35ms, mfu 124.31%
iter 640: loss 5.3086, time 1081.18ms, mfu 124.33%
iter 650: loss 5.2369, time 1082.02ms, mfu 124.34%
iter 660: loss 5.2010, time 1081.23ms, mfu 124.36%
iter 670: loss 5.2747, time 1081.83ms, mfu 124.37%
iter 680: loss 5.1812, time 1079.14ms, mfu 124.42%
iter 690: loss 5.1589, time 1083.03ms, mfu 124.41%
iter 700: loss 5.1324, time 1075.72ms, mfu 124.48%
iter 710: loss 5.0485, time 1079.72ms, mfu 124.51%
iter 720: loss 5.0871, time 1083.39ms, mfu 124.49%
iter 730: loss 5.0651, time 1079.17ms, mfu 124.52%
iter 740: loss 5.0754, time 1082.92ms, mfu 124.50%
iter 750: loss 5.1002, time 1080.15ms, mfu 124.52%
iter 760: loss 5.0228, time 1083.63ms, mfu 124.49%
