step 0: train loss 10.8173, val loss 10.8175
iter 0: loss 10.8174, time 117949.83ms, mfu -100.00%
iter 10: loss 10.7669, time 1012.89ms, mfu 100.48%
iter 20: loss 10.6348, time 1014.49ms, mfu 100.47%
iter 30: loss 10.4791, time 1011.36ms, mfu 100.48%
iter 40: loss 10.3044, time 1014.78ms, mfu 100.46%
iter 50: loss 10.1180, time 1007.36ms, mfu 100.52%
iter 60: loss 9.9147, time 1015.45ms, mfu 100.49%
iter 70: loss 9.6130, time 1015.34ms, mfu 100.47%
iter 80: loss 9.3119, time 1018.45ms, mfu 100.41%
iter 90: loss 8.9045, time 1015.38ms, mfu 100.39%
iter 100: loss 8.4763, time 1015.00ms, mfu 100.38%
iter 110: loss 8.1358, time 1016.24ms, mfu 100.36%
iter 120: loss 7.7704, time 1011.93ms, mfu 100.38%
iter 130: loss 7.5551, time 1019.20ms, mfu 100.33%
iter 140: loss 7.4301, time 1018.70ms, mfu 100.29%
iter 150: loss 7.3936, time 1018.72ms, mfu 100.25%
iter 160: loss 7.3127, time 1017.04ms, mfu 100.23%
iter 170: loss 7.4256, time 1019.22ms, mfu 100.19%
iter 180: loss 7.2244, time 1018.06ms, mfu 100.17%
iter 190: loss 7.1310, time 1018.94ms, mfu 100.14%
iter 200: loss 7.1379, time 1020.57ms, mfu 100.10%
iter 210: loss 7.1515, time 1021.08ms, mfu 100.06%
iter 220: loss 7.0697, time 1019.84ms, mfu 100.03%
iter 230: loss 7.0419, time 1019.81ms, mfu 100.01%
iter 240: loss 6.9839, time 1019.29ms, mfu 99.99%
iter 250: loss 6.8933, time 1019.64ms, mfu 99.97%
iter 260: loss 6.8440, time 1022.68ms, mfu 99.93%
iter 270: loss 6.8658, time 1019.97ms, mfu 99.91%
iter 280: loss 6.7262, time 1017.99ms, mfu 99.92%
iter 290: loss 6.6947, time 1020.79ms, mfu 99.90%
iter 300: loss 6.6090, time 1022.48ms, mfu 99.86%
iter 310: loss 6.6515, time 1017.88ms, mfu 99.88%
