step 0: train loss 10.8545, val loss 10.8549
iter 0: loss 10.8543, time 149585.91ms, mfu -100.00%
iter 10: loss 10.7822, time 1299.74ms, mfu 93.22%
iter 20: loss 10.6194, time 1303.03ms, mfu 93.20%
iter 30: loss 10.4079, time 1298.48ms, mfu 93.21%
iter 40: loss 10.2149, time 1300.50ms, mfu 93.20%
iter 50: loss 9.9735, time 1299.05ms, mfu 93.21%
iter 60: loss 9.7188, time 1299.16ms, mfu 93.22%
iter 70: loss 9.3725, time 1299.83ms, mfu 93.22%
iter 80: loss 8.9586, time 1300.37ms, mfu 93.21%
iter 90: loss 8.5246, time 1300.04ms, mfu 93.21%
iter 100: loss 8.1058, time 1303.44ms, mfu 93.18%
iter 110: loss 7.8065, time 1301.34ms, mfu 93.18%
iter 120: loss 7.5278, time 1302.00ms, mfu 93.16%
iter 130: loss 7.4575, time 1307.87ms, mfu 93.11%
iter 140: loss 7.4089, time 1303.74ms, mfu 93.09%
iter 150: loss 7.3377, time 1302.35ms, mfu 93.09%
iter 160: loss 7.1804, time 1301.17ms, mfu 93.09%
iter 170: loss 7.2056, time 1310.45ms, mfu 93.03%
iter 180: loss 7.1809, time 1304.73ms, mfu 93.01%
iter 190: loss 7.1589, time 1310.61ms, mfu 92.96%
iter 200: loss 7.0453, time 1300.45ms, mfu 92.98%
iter 210: loss 7.0237, time 1302.20ms, mfu 92.98%
iter 220: loss 7.0002, time 1304.57ms, mfu 92.97%
iter 230: loss 6.9548, time 1309.91ms, mfu 92.92%
iter 240: loss 6.8127, time 1312.47ms, mfu 92.86%
iter 250: loss 6.7493, time 1309.85ms, mfu 92.83%
iter 260: loss 6.7264, time 1308.25ms, mfu 92.81%
iter 270: loss 6.6370, time 1304.62ms, mfu 92.81%
iter 280: loss 6.6198, time 1308.64ms, mfu 92.79%
iter 290: loss 6.4422, time 1309.50ms, mfu 92.76%
iter 300: loss 6.4918, time 1307.68ms, mfu 92.75%
iter 310: loss 6.4643, time 1310.82ms, mfu 92.72%
iter 320: loss 6.4149, time 1309.46ms, mfu 92.70%
iter 330: loss 6.3621, time 1311.17ms, mfu 92.67%
iter 340: loss 6.5253, time 1312.29ms, mfu 92.64%
iter 350: loss 6.3326, time 1308.59ms, mfu 92.63%
iter 360: loss 6.3540, time 1305.36ms, mfu 92.65%
iter 370: loss 6.4063, time 1315.20ms, mfu 92.60%
iter 380: loss 6.3421, time 1312.71ms, mfu 92.57%
iter 390: loss 6.3261, time 1310.73ms, mfu 92.56%
iter 400: loss 6.2469, time 1305.34ms, mfu 92.58%
iter 410: loss 6.2598, time 1312.37ms, mfu 92.56%
