step 0: train loss 10.8545, val loss 10.8549
iter 0: loss 10.8543, time 62457.09ms, mfu -100.00%
iter 10: loss 10.7822, time 1301.25ms, mfu 93.11%
iter 20: loss 10.6194, time 1297.20ms, mfu 93.14%
iter 30: loss 10.4079, time 1301.51ms, mfu 93.14%
iter 40: loss 10.2148, time 1297.49ms, mfu 93.16%
iter 50: loss 9.9735, time 1303.03ms, mfu 93.14%
iter 60: loss 9.7188, time 1299.21ms, mfu 93.15%
iter 70: loss 9.3726, time 1300.02ms, mfu 93.16%
iter 80: loss 8.9586, time 1301.48ms, mfu 93.15%
iter 90: loss 8.5246, time 1297.16ms, mfu 93.18%
iter 100: loss 8.1058, time 1302.56ms, mfu 93.16%
iter 110: loss 7.8066, time 1303.50ms, mfu 93.14%
iter 120: loss 7.5277, time 1306.03ms, mfu 93.10%
iter 130: loss 7.4586, time 1301.38ms, mfu 93.10%
iter 140: loss 7.4095, time 1305.37ms, mfu 93.08%
iter 150: loss 7.3298, time 1311.65ms, mfu 93.01%
iter 160: loss 7.1733, time 1306.77ms, mfu 92.98%
iter 170: loss 7.1898, time 1300.71ms, mfu 92.99%
iter 180: loss 7.1908, time 1302.74ms, mfu 92.99%
iter 190: loss 7.1432, time 1309.92ms, mfu 92.95%
iter 200: loss 7.0323, time 1298.30ms, mfu 92.98%
iter 210: loss 7.0084, time 1313.02ms, mfu 92.91%
iter 220: loss 6.9784, time 1311.57ms, mfu 92.86%
iter 230: loss 6.9365, time 1302.97ms, mfu 92.87%
iter 240: loss 6.8095, time 1304.31ms, mfu 92.87%
iter 250: loss 6.7589, time 1304.11ms, mfu 92.88%
iter 260: loss 6.7325, time 1307.43ms, mfu 92.86%
iter 270: loss 6.6344, time 1302.90ms, mfu 92.87%
iter 280: loss 6.6345, time 1308.32ms, mfu 92.84%
iter 290: loss 6.4472, time 1311.17ms, mfu 92.80%
iter 300: loss 6.4938, time 1305.98ms, mfu 92.80%
iter 310: loss 6.4557, time 1312.22ms, mfu 92.75%
iter 320: loss 6.4072, time 1303.09ms, mfu 92.77%
iter 330: loss 6.3572, time 1313.97ms, mfu 92.72%
iter 340: loss 6.5270, time 1307.35ms, mfu 92.71%
iter 350: loss 6.3316, time 1311.55ms, mfu 92.68%
iter 360: loss 6.3640, time 1303.64ms, mfu 92.71%
iter 370: loss 6.4084, time 1311.62ms, mfu 92.67%
iter 380: loss 6.3690, time 1311.59ms, mfu 92.64%
iter 390: loss 6.3235, time 1305.53ms, mfu 92.66%
