step 0: train loss 10.9478, val loss 10.9479
iter 0: loss 10.9475, time 69189.02ms, mfu -100.00%
iter 10: loss 10.8050, time 1300.00ms, mfu 92.66%
iter 20: loss 10.4342, time 1296.90ms, mfu 92.68%
iter 30: loss 9.9554, time 1301.93ms, mfu 92.66%
iter 40: loss 9.6329, time 1300.40ms, mfu 92.66%
iter 50: loss 9.2263, time 1301.93ms, mfu 92.65%
iter 60: loss 8.9708, time 1300.21ms, mfu 92.65%
iter 70: loss 8.7471, time 1299.83ms, mfu 92.65%
iter 80: loss 8.5020, time 1296.73ms, mfu 92.67%
iter 90: loss 8.3080, time 1301.84ms, mfu 92.66%
iter 100: loss 8.0235, time 1300.14ms, mfu 92.66%
iter 110: loss 7.8283, time 1299.08ms, mfu 92.66%
iter 120: loss 7.5966, time 1300.79ms, mfu 92.66%
iter 130: loss 7.4316, time 1298.55ms, mfu 92.67%
iter 140: loss 7.2514, time 1298.75ms, mfu 92.68%
iter 150: loss 7.1180, time 1301.73ms, mfu 92.66%
iter 160: loss 6.9847, time 1299.74ms, mfu 92.66%
iter 170: loss 6.9232, time 1300.63ms, mfu 92.66%
iter 180: loss 6.8858, time 1300.12ms, mfu 92.66%
iter 190: loss 6.7754, time 1300.17ms, mfu 92.66%
iter 200: loss 6.6096, time 1300.38ms, mfu 92.65%
iter 210: loss 6.5963, time 1300.39ms, mfu 92.65%
iter 220: loss 6.5543, time 1298.95ms, mfu 92.66%
iter 230: loss 6.4594, time 1302.73ms, mfu 92.64%
iter 240: loss 6.4532, time 1301.61ms, mfu 92.63%
iter 250: loss 6.3857, time 1303.71ms, mfu 92.61%
iter 260: loss 6.3457, time 1299.73ms, mfu 92.61%
iter 270: loss 6.3196, time 1301.33ms, mfu 92.61%
iter 280: loss 6.3523, time 1302.95ms, mfu 92.59%
iter 290: loss 6.2796, time 1303.76ms, mfu 92.57%
iter 300: loss 6.2856, time 1301.81ms, mfu 92.57%
iter 310: loss 6.1293, time 1302.05ms, mfu 92.56%
iter 320: loss 6.1571, time 1302.12ms, mfu 92.56%
iter 330: loss 6.0745, time 1309.29ms, mfu 92.50%
iter 340: loss 6.1058, time 1303.47ms, mfu 92.49%
iter 350: loss 6.1109, time 1304.91ms, mfu 92.47%
iter 360: loss 6.0095, time 1304.91ms, mfu 92.46%
iter 370: loss 5.9671, time 1300.55ms, mfu 92.47%
iter 380: loss 6.0666, time 1301.70ms, mfu 92.48%
iter 390: loss 6.0015, time 1302.47ms, mfu 92.48%
iter 400: loss 5.9357, time 1308.40ms, mfu 92.44%
iter 410: loss 5.9711, time 1305.75ms, mfu 92.42%
iter 420: loss 5.9527, time 1308.94ms, mfu 92.38%
iter 430: loss 5.9255, time 1300.54ms, mfu 92.40%
iter 440: loss 5.9491, time 1301.72ms, mfu 92.42%
iter 450: loss 5.8092, time 1307.24ms, mfu 92.39%
iter 460: loss 5.8596, time 1312.78ms, mfu 92.33%
iter 470: loss 5.8545, time 1307.43ms, mfu 92.31%
iter 480: loss 5.8454, time 1305.64ms, mfu 92.30%
iter 490: loss 5.7738, time 1300.22ms, mfu 92.34%
iter 500: loss 5.8711, time 1299.90ms, mfu 92.37%
iter 510: loss 5.7500, time 1308.98ms, mfu 92.33%
iter 520: loss 5.7675, time 1304.66ms, mfu 92.33%
iter 530: loss 5.8542, time 1306.68ms, mfu 92.32%
iter 540: loss 5.7297, time 1301.79ms, mfu 92.34%
iter 550: loss 5.6488, time 1301.42ms, mfu 92.36%
iter 560: loss 5.7106, time 1298.63ms, mfu 92.40%
iter 570: loss 5.6569, time 1303.29ms, mfu 92.40%
iter 580: loss 5.6318, time 1306.54ms, mfu 92.38%
iter 590: loss 5.6650, time 1301.61ms, mfu 92.40%
iter 600: loss 5.5605, time 1304.07ms, mfu 92.39%
iter 610: loss 5.5722, time 1308.75ms, mfu 92.36%
iter 620: loss 5.4802, time 1307.67ms, mfu 92.33%
iter 630: loss 5.6203, time 1313.56ms, mfu 92.27%
iter 640: loss 5.5155, time 1309.50ms, mfu 92.24%
iter 650: loss 5.4503, time 1304.74ms, mfu 92.25%
iter 660: loss 5.4774, time 1306.75ms, mfu 92.24%
iter 670: loss 5.3992, time 1305.69ms, mfu 92.24%
iter 680: loss 5.4500, time 1309.34ms, mfu 92.22%
iter 690: loss 5.4387, time 1301.81ms, mfu 92.25%
iter 700: loss 5.4662, time 1301.45ms, mfu 92.28%
iter 710: loss 5.4129, time 1302.63ms, mfu 92.30%
iter 720: loss 5.4360, time 1303.40ms, mfu 92.31%
iter 730: loss 5.3991, time 1308.11ms, mfu 92.29%
iter 740: loss 5.3678, time 1308.54ms, mfu 92.26%
iter 750: loss 5.3553, time 1301.05ms, mfu 92.30%
iter 760: loss 5.3562, time 1307.41ms, mfu 92.28%
iter 770: loss 5.3432, time 1310.09ms, mfu 92.25%
iter 780: loss 5.3025, time 1316.27ms, mfu 92.17%
iter 790: loss 5.4142, time 1307.78ms, mfu 92.17%
iter 800: loss 5.2554, time 1308.66ms, mfu 92.15%
iter 810: loss 5.3053, time 1309.97ms, mfu 92.13%
iter 820: loss 5.2280, time 1300.24ms, mfu 92.18%
iter 830: loss 5.2681, time 1310.96ms, mfu 92.15%
iter 840: loss 5.2705, time 1307.34ms, mfu 92.15%
iter 850: loss 5.2528, time 1303.89ms, mfu 92.18%
iter 860: loss 5.1801, time 1301.21ms, mfu 92.22%
iter 870: loss 5.1928, time 1306.53ms, mfu 92.21%
iter 880: loss 5.1350, time 1307.35ms, mfu 92.21%
iter 890: loss 5.1841, time 1303.33ms, mfu 92.23%
iter 900: loss 4.9941, time 1309.06ms, mfu 92.21%
iter 910: loss 5.1372, time 1304.85ms, mfu 92.22%
iter 920: loss 5.1328, time 1307.79ms, mfu 92.21%
iter 930: loss 5.1162, time 1307.01ms, mfu 92.20%
iter 940: loss 5.0403, time 1300.89ms, mfu 92.24%
iter 950: loss 5.1076, time 1301.34ms, mfu 92.27%
iter 960: loss 5.1723, time 1299.35ms, mfu 92.32%
iter 970: loss 5.0887, time 1303.03ms, mfu 92.33%
iter 980: loss 5.0281, time 1300.25ms, mfu 92.36%
iter 990: loss 5.1204, time 1303.89ms, mfu 92.36%
step 1000: train loss 5.0285, val loss 5.0238
saving checkpoint to out
iter 1000: loss 5.0445, time 37719.13ms, mfu 83.44%
iter 1010: loss 5.0005, time 1299.70ms, mfu 84.37%
iter 1020: loss 4.9713, time 1306.94ms, mfu 85.15%
iter 1030: loss 5.0545, time 1301.45ms, mfu 85.89%
iter 1040: loss 5.0099, time 1300.18ms, mfu 86.56%
iter 1050: loss 4.9482, time 1301.79ms, mfu 87.16%
iter 1060: loss 4.8760, time 1303.74ms, mfu 87.68%
iter 1070: loss 4.9407, time 1307.61ms, mfu 88.13%
iter 1080: loss 4.9543, time 1299.73ms, mfu 88.58%
iter 1090: loss 4.8763, time 1312.53ms, mfu 88.90%
iter 1100: loss 4.9409, time 1303.48ms, mfu 89.25%
iter 1110: loss 4.9509, time 1302.99ms, mfu 89.57%
iter 1120: loss 4.8683, time 1300.68ms, mfu 89.87%
iter 1130: loss 4.8690, time 1303.22ms, mfu 90.13%
iter 1140: loss 4.8402, time 1303.93ms, mfu 90.36%
iter 1150: loss 4.9218, time 1308.00ms, mfu 90.53%
iter 1160: loss 4.7941, time 1305.70ms, mfu 90.70%
iter 1170: loss 4.8068, time 1303.25ms, mfu 90.87%
iter 1180: loss 4.8013, time 1462.93ms, mfu 90.02%
iter 1190: loss 4.8237, time 1309.11ms, mfu 90.22%
iter 1200: loss 4.7748, time 1301.86ms, mfu 90.45%
iter 1210: loss 4.8260, time 1303.72ms, mfu 90.64%
iter 1220: loss 4.7488, time 1310.94ms, mfu 90.77%
iter 1230: loss 4.7289, time 1309.83ms, mfu 90.89%
iter 1240: loss 4.7061, time 1310.88ms, mfu 90.99%
iter 1250: loss 4.7461, time 1303.51ms, mfu 91.13%
iter 1260: loss 4.7365, time 1301.94ms, mfu 91.27%
iter 1270: loss 4.7311, time 1309.32ms, mfu 91.34%
iter 1280: loss 4.6933, time 1302.08ms, mfu 91.46%
