step 0: train loss 10.9210, val loss 10.9203
iter 0: loss 10.9189, time 41997.56ms, mfu -100.00%
iter 10: loss 10.5928, time 745.41ms, mfu 75.11%
iter 20: loss 10.2249, time 748.32ms, mfu 75.08%
iter 30: loss 10.0196, time 746.51ms, mfu 75.07%
iter 40: loss 9.8531, time 745.10ms, mfu 75.08%
iter 50: loss 9.7126, time 746.98ms, mfu 75.07%
iter 60: loss 9.5320, time 745.55ms, mfu 75.07%
iter 70: loss 9.4192, time 743.72ms, mfu 75.09%
iter 80: loss 9.2897, time 746.36ms, mfu 75.08%
iter 90: loss 9.1259, time 745.91ms, mfu 75.08%
iter 100: loss 8.9950, time 743.30ms, mfu 75.11%
iter 110: loss 8.8447, time 747.06ms, mfu 75.09%
iter 120: loss 8.6998, time 744.26ms, mfu 75.10%
iter 130: loss 8.4910, time 745.89ms, mfu 75.10%
iter 140: loss 8.3025, time 745.75ms, mfu 75.10%
iter 150: loss 8.1573, time 744.62ms, mfu 75.11%
iter 160: loss 7.9481, time 744.32ms, mfu 75.12%
iter 170: loss 7.8786, time 745.72ms, mfu 75.11%
iter 180: loss 7.6742, time 746.30ms, mfu 75.11%
iter 190: loss 7.4830, time 744.63ms, mfu 75.11%
iter 200: loss 7.3789, time 744.45ms, mfu 75.12%
iter 210: loss 7.2285, time 745.53ms, mfu 75.12%
iter 220: loss 7.1658, time 747.02ms, mfu 75.10%
iter 230: loss 7.0132, time 746.07ms, mfu 75.10%
iter 240: loss 6.8948, time 745.69ms, mfu 75.10%
iter 250: loss 6.9493, time 745.92ms, mfu 75.09%
iter 260: loss 6.8151, time 745.81ms, mfu 75.09%
iter 270: loss 6.7689, time 744.75ms, mfu 75.10%
iter 280: loss 6.7317, time 745.74ms, mfu 75.10%
iter 290: loss 6.5907, time 747.50ms, mfu 75.08%
iter 300: loss 6.4978, time 744.42ms, mfu 75.09%
iter 310: loss 6.4552, time 746.47ms, mfu 75.08%
iter 320: loss 6.4581, time 747.30ms, mfu 75.07%
iter 330: loss 6.4191, time 743.65ms, mfu 75.09%
iter 340: loss 6.3835, time 747.44ms, mfu 75.07%
iter 350: loss 6.3697, time 745.29ms, mfu 75.08%
iter 360: loss 6.3053, time 748.42ms, mfu 75.05%
iter 370: loss 6.2509, time 745.65ms, mfu 75.05%
iter 380: loss 6.2350, time 744.76ms, mfu 75.07%
iter 390: loss 6.2422, time 747.13ms, mfu 75.05%
iter 400: loss 6.2645, time 744.04ms, mfu 75.07%
iter 410: loss 6.2525, time 749.19ms, mfu 75.04%
iter 420: loss 6.1933, time 748.16ms, mfu 75.02%
iter 430: loss 6.1669, time 746.72ms, mfu 75.01%
iter 440: loss 6.0230, time 749.35ms, mfu 74.98%
iter 450: loss 6.1018, time 748.27ms, mfu 74.97%
iter 460: loss 6.0602, time 747.73ms, mfu 74.96%
iter 470: loss 6.0422, time 744.65ms, mfu 74.98%
iter 480: loss 6.0225, time 749.48ms, mfu 74.95%
iter 490: loss 6.0159, time 747.79ms, mfu 74.95%
iter 500: loss 5.9513, time 745.99ms, mfu 74.96%
iter 510: loss 5.9666, time 749.59ms, mfu 74.93%
iter 520: loss 5.9835, time 748.59ms, mfu 74.92%
iter 530: loss 5.9196, time 747.16ms, mfu 74.92%
iter 540: loss 5.9196, time 748.69ms, mfu 74.90%
iter 550: loss 5.9152, time 747.12ms, mfu 74.91%
iter 560: loss 5.7833, time 745.21ms, mfu 74.93%
iter 570: loss 5.8457, time 745.97ms, mfu 74.94%
iter 580: loss 5.8078, time 748.76ms, mfu 74.93%
iter 590: loss 5.7905, time 747.51ms, mfu 74.92%
iter 600: loss 5.7345, time 744.14ms, mfu 74.96%
iter 610: loss 5.7258, time 749.63ms, mfu 74.93%
iter 620: loss 5.7185, time 747.53ms, mfu 74.93%
iter 630: loss 5.6716, time 747.55ms, mfu 74.92%
iter 640: loss 5.6734, time 748.97ms, mfu 74.91%
iter 650: loss 5.6799, time 746.92ms, mfu 74.91%
iter 660: loss 5.6879, time 750.32ms, mfu 74.88%
iter 670: loss 5.5464, time 748.08ms, mfu 74.88%
iter 680: loss 5.6573, time 748.11ms, mfu 74.87%
iter 690: loss 5.6160, time 746.72ms, mfu 74.88%
iter 700: loss 5.5239, time 743.21ms, mfu 74.93%
iter 710: loss 5.5103, time 747.78ms, mfu 74.92%
iter 720: loss 5.5372, time 749.09ms, mfu 74.91%
iter 730: loss 5.4727, time 746.08ms, mfu 74.92%
iter 740: loss 5.4493, time 746.81ms, mfu 74.92%
iter 750: loss 5.4515, time 748.23ms, mfu 74.92%
iter 760: loss 5.5570, time 747.93ms, mfu 74.91%
iter 770: loss 5.4792, time 747.79ms, mfu 74.91%
iter 780: loss 5.4836, time 747.88ms, mfu 74.90%
iter 790: loss 5.3593, time 749.11ms, mfu 74.89%
iter 800: loss 5.3684, time 742.27ms, mfu 74.94%
iter 810: loss 5.2632, time 746.34ms, mfu 74.95%
iter 820: loss 5.3252, time 748.39ms, mfu 74.93%
iter 830: loss 5.3210, time 749.28ms, mfu 74.91%
iter 840: loss 5.2758, time 748.22ms, mfu 74.90%
iter 850: loss 5.2823, time 747.11ms, mfu 74.91%
iter 860: loss 5.2113, time 747.42ms, mfu 74.91%
iter 870: loss 5.3037, time 747.93ms, mfu 74.90%
iter 880: loss 5.2479, time 746.54ms, mfu 74.91%
iter 890: loss 5.2281, time 748.74ms, mfu 74.90%
iter 900: loss 5.2074, time 745.05ms, mfu 74.92%
